source_id,sample_id,total_as_raw,total_as_lower_bound_ppb,total_as_censoring,inorganic_as_raw,inorganic_as_lower_bound_ppb,inorganic_as_censoring,dma_raw,dma_lower_bound_ppb,dma_censoring,mma_raw,mma_lower_bound_ppb,mma_censoring,product_slug,source_product_label,basis,unit,notes
fda2011-apple-juice-arsenic-speciation,561799,5.6,5.6,quantified,5.2,5.2,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,561800,36,36,quantified,8.3,8.3,quantified,TR,0,reported_trace_above_lod_below_loq,19,19,quantified,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,592030,7.5,7.5,quantified,5.4,5.4,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,606077,4.1,4.1,quantified,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,606078,6.6,6.6,quantified,3.9,3.9,quantified,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,615659,1.3,1.3,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,629367,6.9,6.9,quantified,5.0,5.0,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,629368,10,10,quantified,8.1,8.1,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,645508,30,30,quantified,8.4,8.4,quantified,TR,0,reported_trace_above_lod_below_loq,20,20,quantified,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,645509,5.5,5.5,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,TR,0,reported_trace_above_lod_below_loq,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,645510,1.4,1.4,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,657385,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,658160,2.6,2.6,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,658161,5.1,5.1,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,658162,7.2,7.2,quantified,4.0,4.0,quantified,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,659338,6.8,6.8,quantified,4.8,4.8,quantified,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,661782,6.3,6.3,quantified,5.5,5.5,quantified,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,663975,5.9,5.9,quantified,4.9,4.9,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,665626,3.5,3.5,quantified,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,665627,3.5,3.5,quantified,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,665628,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,669327,9.6,9.6,quantified,9.8,9.8,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,669328,6.5,6.5,quantified,4.5,4.5,quantified,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,669329,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
